num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0
1,0,False,1,83da5_00000,2025-06-01_20-48-55,1748800135,62.02884650230408,62.02884650230408,50820,Cerebro,127.0.0.1,62.02884650230408,1,60.03234169998905,2.3100001271814108e-05,60.03220539999893,60.03218540002126,0,0,0,15.45128205128205,72.41282051282052,0.0,0.0
1,0,False,2,83da5_00000,2025-06-01_20-48-57,1748800137,1.9926135540008545,64.02146005630493,50820,Cerebro,127.0.0.1,64.02146005630493,2,59.45193625498912,0.019938455001683904,59.43188492499874,59.43186498402094,0,0,0,43.05,70.2,0.0,0.0
1,0,False,3,83da5_00000,2025-06-01_20-48-59,1748800139,1.9949088096618652,66.0163688659668,50820,Cerebro,127.0.0.1,66.0163688659668,3,58.877362112438874,0.03968208845142508,58.83756761274881,58.83754776918118,0,0,0,45.13333333333333,71.46666666666667,0.0,0.0
1,0,False,4,83da5_00000,2025-06-01_20-50-01,1748800201,62.0295615196228,128.0459303855896,50820,Cerebro,127.0.0.1,128.0459303855896,4,58.889339690315,0.039448543566859215,58.84977915362117,58.84975939448951,0,4,0,16.33116883116883,71.8168831168831,0.0,0.0
1,0,False,5,83da5_00000,2025-06-01_20-50-03,1748800203,1.9942171573638916,130.0401475429535,50820,Cerebro,127.0.0.1,130.0401475429535,5,58.32038874341193,0.05899388713111323,58.26128320608503,58.261263489544675,0,4,0,40.76666666666667,70.23333333333333,0.0,0.0
1,0,False,6,83da5_00000,2025-06-01_20-50-05,1748800205,1.8979403972625732,131.93808794021606,50820,Cerebro,127.0.0.1,131.93808794021606,6,57.75616342597785,0.07737988125954898,57.67867218902403,57.67865253964925,0,4,0,48.45,71.55000000000001,0.0,0.0
1,0,False,7,83da5_00000,2025-06-01_20-51-07,1748800267,62.025163888931274,193.96325182914734,50820,Cerebro,127.0.0.1,193.96325182914734,7,57.77930888471802,0.07676624444705547,57.70243172613375,57.702412144252904,0,8,0,15.587012987012985,71.85454545454544,0.0,0.0
1,0,False,8,83da5_00000,2025-06-01_20-51-09,1748800269,1.9932687282562256,195.95652055740356,50820,Cerebro,127.0.0.1,195.95652055740356,8,57.22144569787084,0.09592623800294856,57.12540894487247,57.125389438810096,0,8,0,35.2,70.06666666666666,0.0,0.0
1,0,False,9,83da5_00000,2025-06-01_20-51-11,1748800271,1.9604310989379883,197.91695165634155,50820,Cerebro,127.0.0.1,197.91695165634155,9,56.66882990289205,0.11456326762341583,56.554156522424215,56.554137096422174,0,8,0,35.9,71.4,0.0,0.0
1,0,False,10,83da5_00000,2025-06-01_20-52-13,1748800333,62.0269718170166,259.94392347335815,50820,Cerebro,127.0.0.1,259.94392347335815,10,56.702856985862745,0.11356742894749901,56.589179753199645,56.58916037845828,0,12,0,18.15974025974026,71.35584415584415,0.0,0.0
1,0,False,11,83da5_00000,2025-06-01_20-52-15,1748800335,1.89925217628479,261.84317564964294,50820,Cerebro,127.0.0.1,261.84317564964294,11,56.15480821300418,0.13140923865793944,56.023289521667934,56.02327023367375,0,12,0,44.3,68.94999999999999,0.0,0.0
1,0,False,12,83da5_00000,2025-06-01_20-52-17,1748800337,1.9956741333007812,263.8388497829437,50820,Cerebro,127.0.0.1,263.8388497829437,12,55.613210281874075,0.15004272327149,55.46305843045102,55.463039198336894,0,12,0,43.56666666666666,70.43333333333334,0.0,0.0
