Wall time,Step,Value
1748801780.138916,1,-76.08333587646484
1748801784.8852572,2,-57.900001525878906
1748801789.311463,3,-39.29999923706055
1748801794.0311208,4,-38.900001525878906
1748801799.0808675,5,-34.599998474121094
1748801804.0028625,6,-30.700000762939453
1748801808.6770017,7,-29.5
1748801813.5523126,8,-19.399999618530273
1748801818.133486,9,-11.699999809265137
1748801822.8492825,10,-0.5
1748801827.6045651,11,-0.20000000298023224
1748801832.2631822,12,-1.100000023841858
1748801836.5142748,13,-2.0
1748801841.1923585,14,-2.700000047683716
1748801845.454897,15,3.200000047683716
1748801850.328747,16,-0.30000001192092896
1748801854.7171702,17,15.0
1748801859.5154698,18,29.0
1748801864.4603658,19,35.70000076293945
1748801869.086123,20,34.0
1748801874.135785,21,23.844999313354492
1748801878.8782067,22,20.344999313354492
1748801883.576768,23,22.5
1748801888.2177446,24,52.05099868774414
1748801892.9821389,25,73.0530014038086
1748801897.833048,26,73.2020034790039
1748801902.7019372,27,78.5999984741211
1748801907.3933353,28,100.0
1748801912.159477,29,111.5
1748801916.8963318,30,106.30000305175781
1748801921.950379,31,100.69999694824219
1748801926.917387,32,110.0999984741211
1748801931.4469976,33,129.51800537109375
1748801936.0500169,34,133.38999938964844
1748801941.033108,35,139.5070037841797
1748801946.0406692,36,176.3979949951172
1748801950.6543984,37,204.5290069580078
1748801955.9727123,38,199.22799682617188
1748801960.7338605,39,234.56300354003906
1748801965.3282351,40,238.83099365234375
1748801970.2193694,41,239.16799926757812
1748801974.9506004,42,252.84800720214844
1748801979.6954157,43,258.5790100097656
1748801984.5654352,44,332.75201416015625
1748801989.870995,45,313.7959899902344
1748801994.8402462,46,328.3949890136719
1748801999.6205406,47,452.9570007324219
1748802004.4349651,48,415.4049987792969
1748802008.891185,49,462.7569885253906
1748802013.5185022,50,487.80499267578125
1748802018.0979457,51,533.9819946289062
1748802022.7688227,52,625.4990234375
1748802027.2198436,53,628.1859741210938
1748802031.8072517,54,666.333984375
1748802036.5456471,55,693.3980102539062
1748802041.1502423,56,621.7789916992188
1748802046.207344,57,718.6380004882812
1748802050.7885687,58,812.1170043945312
1748802055.3859365,59,766.5709838867188
1748802059.928363,60,780.14501953125
1748802064.9713228,61,779.3510131835938
1748802069.5665298,62,835.4240112304688
1748802074.1699543,63,865.260009765625
1748802078.6551764,64,844.8469848632812
1748802083.245501,65,780.5230102539062
1748802087.6148143,66,819.0570068359375
1748802092.4115229,67,865.885009765625
1748802096.7686558,68,863.8189697265625
1748802101.4449584,69,898.8389892578125
1748802105.937427,70,893.3939819335938
1748802111.0619838,71,899.1740112304688
1748802115.6428754,72,892.0009765625
1748802120.5543256,73,898.3489990234375
1748802124.9589188,74,869.8740234375
1748802129.7541225,75,888.822021484375
1748802134.4403138,76,905.8410034179688
1748802139.1286175,77,904.1060180664062
1748802143.678905,78,880.9180297851562
1748802148.7222016,79,869.3270263671875
1748802153.138766,80,875.8480224609375
1748802158.0582302,81,843.9609985351562
1748802162.7144008,82,899.8170166015625
1748802167.5080013,83,894.1179809570312
1748802172.4404092,84,886.635986328125
1748802177.732815,85,887.5189819335938
1748802182.837926,86,911.989990234375
1748802188.4063268,87,908.9739990234375
1748802194.242216,88,924.8109741210938
1748802199.4011753,89,924.3709716796875
1748802204.8001542,90,897.0499877929688
1748802210.100704,91,917.135986328125
1748802215.1826444,92,927.114013671875
1748802220.4359393,93,931.7100219726562
1748802225.761939,94,932.9669799804688
1748802230.9683893,95,921.3099975585938
1748802236.2052054,96,909.1680297851562
1748802241.570889,97,914.2689819335938
1748802246.4333081,98,936.47802734375
1748802251.81693,99,909.1619873046875
1748802256.651402,100,911.8499755859375
1748802262.182673,101,924.6630249023438
1748802267.1477697,102,921.0159912109375
1748802272.119132,103,916.2960205078125
1748802276.834535,104,915.6950073242188
1748802281.7838786,105,914.8369750976562
1748802286.4378748,106,920.3930053710938
1748802291.4468393,107,905.6909790039062
1748802295.8628824,108,914.6409912109375
1748802300.753221,109,925.5380249023438
1748802305.446972,110,918.3759765625
1748802310.3639226,111,886.7269897460938
1748802314.9742126,112,917.2830200195312
1748802319.6287715,113,901.5549926757812
1748802324.1480591,114,898.8040161132812
1748802328.7481546,115,909.4409790039062
1748802333.7600234,116,928.4119873046875
1748802338.4705515,117,915.7000122070312
1748802343.2689407,118,905.1240234375
1748802347.9987454,119,896.3939819335938
1748802352.9271445,120,919.2520141601562
1748802357.7736418,121,911.2730102539062
1748802362.4494312,122,924.9030151367188
1748802367.2806735,123,917.041015625
1748802372.1935568,124,912.7589721679688
1748802376.7439332,125,909.5889892578125
1748802381.6525836,126,921.6500244140625
1748802386.218395,127,905.1270141601562
1748802390.9735594,128,903.239990234375
1748802395.3973796,129,911.051025390625
1748802400.4196496,130,900.5390014648438
1748802405.1261647,131,916.1409912109375
1748802410.3002071,132,916.7689819335938
1748802414.6206307,133,886.280029296875
1748802419.5153735,134,910.1630249023438
1748802424.1225076,135,918.1209716796875
1748802429.2249048,136,928.81201171875
1748802433.868046,137,910.7139892578125
1748802438.4901114,138,920.75
1748802443.5424523,139,927.927001953125
1748802448.0247736,140,898.5570068359375
1748802453.340119,141,924.0750122070312
1748802457.992874,142,917.7559814453125
1748802462.6517801,143,923.2860107421875
1748802467.2542927,144,899.2940063476562
1748802471.9964435,145,930.593994140625
1748802476.7608454,146,933.2009887695312
1748802481.6354487,147,905.0910034179688
1748802486.5967746,148,911.1939697265625
1748802491.3360019,149,916.5859985351562
1748802495.67633,150,923.2869873046875
1748802500.7404568,151,920.5999755859375
1748802505.1787455,152,903.3900146484375
1748802510.0133398,153,886.3060302734375
1748802514.3759596,154,894.2620239257812
1748802519.1951196,155,916.0549926757812
1748802523.7983046,156,904.7410278320312
1748802528.675073,157,907.9730224609375
1748802533.3136811,158,904.6090087890625
1748802537.7448058,159,923.2130126953125
1748802542.5742264,160,914.260009765625
1748802547.142264,161,897.2100219726562
1748802551.7659578,162,934.5599975585938
1748802556.1358016,163,925.0910034179688
1748802560.8677282,164,933.4089965820312
1748802565.2791443,165,927.9920043945312
1748802570.0764387,166,887.9039916992188
1748802574.7608693,167,903.9520263671875
1748802579.3486445,168,888.7769775390625
1748802584.0179906,169,920.458984375
1748802588.8046684,170,916.2369995117188
1748802593.5322964,171,908.9340209960938
1748802598.368304,172,910.6060180664062
1748802603.0009477,173,922.10400390625
1748802607.4108958,174,901.156005859375
1748802612.236996,175,921.9249877929688
1748802616.7408283,176,911.280029296875
1748802621.5790033,177,906.1370239257812
1748802625.861668,178,903.3980102539062
1748802630.639212,179,905.5189819335938
1748802635.1162784,180,904.9349975585938
1748802640.0020664,181,920.8980102539062
1748802644.6516263,182,875.4340209960938
1748802649.38532,183,914.9140014648438
1748802654.116712,184,911.35302734375
1748802658.5807328,185,926.4329833984375
1748802663.4494188,186,916.0189819335938
1748802667.7950294,187,875.7760009765625
1748802672.914882,188,889.6160278320312
1748802677.228579,189,894.5360107421875
1748802682.3297424,190,912.0130004882812
1748802686.7101955,191,929.39697265625
1748802691.4231167,192,885.8829956054688
1748802695.999887,193,935.0330200195312
1748802700.8223886,194,935.072021484375
1748802705.4377542,195,904.1119995117188
1748802710.8596175,196,931.8980102539062
1748802715.424013,197,934.7080078125
1748802720.0123765,198,916.9340209960938
1748802724.6460283,199,907.2449951171875
1748802729.0965526,200,911.3099975585938
