Wall time,Step,Value
1748811568.207605,1,-200.6666717529297
1748811572.6629233,2,-176.5
1748811576.9299507,3,-135.0
1748811581.149549,4,-125.0999984741211
1748811585.7943454,5,-135.6999969482422
1748811590.465507,6,-127.5999984741211
1748811594.9249053,7,-119.30000305175781
1748811599.2832553,8,-155.10000610351562
1748811603.684882,9,-149.5
1748811608.0604227,10,-112.69999694824219
1748811612.8141744,11,-145.5
1748811617.2898738,12,-148.10000610351562
1748811622.2838871,13,-135.1999969482422
1748811627.45861,14,-134.1999969482422
1748811632.5594704,15,-131.0
1748811637.0345232,16,-130.1999969482422
1748811641.4405348,17,-116.5999984741211
1748811645.9507236,18,-122.69999694824219
1748811650.9500813,19,-119.19999694824219
1748811655.5068839,20,-104.5
1748811660.5405343,21,-89.19400024414062
1748811665.5337205,22,-109.59400177001953
1748811670.1920142,23,-134.8000030517578
1748811674.6750147,24,-129.0
1748811679.562612,25,-118.69999694824219
1748811683.9380507,26,-132.6999969482422
1748811688.840376,27,-139.0
1748811693.0695665,28,-111.19999694824219
1748811698.227086,29,-104.19999694824219
1748811702.8546033,30,-119.9000015258789
1748811707.612236,31,-140.8000030517578
1748811712.2445793,32,-147.5
1748811716.847002,33,-139.89999389648438
1748811721.2892854,34,-144.8000030517578
1748811725.8724406,35,-141.0
1748811730.3781078,36,-109.5
1748811734.996844,37,-97.9000015258789
1748811739.165164,38,-97.0999984741211
1748811743.9128594,39,-100.69999694824219
1748811748.3097947,40,-116.5
1748811752.8529751,41,-132.10000610351562
1748811757.2212594,42,-123.80000305175781
1748811761.6571333,43,-92.91300201416016
1748811766.4792671,44,-112.61299896240234
1748811770.861313,45,-141.1999969482422
1748811775.5281243,46,-139.5
1748811779.7266836,47,-144.6999969482422
1748811784.2784853,48,-134.1999969482422
1748811788.9785852,49,-110.0
1748811793.76676,50,-93.69999694824219
1748811798.1062946,51,-111.0999984741211
1748811802.7186916,52,-123.30000305175781
1748811807.0739439,53,-126.4000015258789
1748811811.6012456,54,-130.1999969482422
1748811815.922647,55,-116.19999694824219
1748811820.947889,56,-91.4000015258789
1748811825.3323588,57,-88.4000015258789
1748811829.7254648,58,-79.80000305175781
1748811834.2794058,59,-53.400001525878906
1748811838.5977342,60,-54.0
1748811843.382849,61,-59.07899856567383
1748811847.8704407,62,-69.5790023803711
1748811852.4826741,63,-73.0
1748811856.9019735,64,-68.19999694824219
1748811861.7323036,65,-54.099998474121094
1748811866.1065786,66,-19.76799964904785
1748811870.6466372,67,-26.26799964904785
1748811875.2361712,68,-33.70000076293945
1748811879.846941,69,-50.70000076293945
1748811884.3613727,70,-76.19999694824219
1748811889.1771832,71,-55.20000076293945
1748811893.6908453,72,-22.797000885009766
1748811898.36788,73,-14.696999549865723
1748811902.95792,74,-8.210000038146973
1748811907.4564013,75,-2.609999895095825
1748811912.3012671,76,-27.799999237060547
1748811916.8965435,77,-5.400000095367432
1748811921.643899,78,5.900000095367432
1748811926.2634125,79,5.2270002365112305
1748811931.111352,80,25.39900016784668
1748811935.8248663,81,17.871999740600586
1748811940.7231803,82,31.389999389648438
1748811945.1834896,83,16.889999389648438
1748811949.834009,84,-0.30000001192092896
1748811954.357608,85,-1.100000023841858
1748811959.2548594,86,30.097999572753906
1748811963.5706782,87,40.79800033569336
1748811968.286367,88,13.0
1748811972.609096,89,30.753999710083008
1748811977.516761,90,34.45399856567383
1748811982.0218527,91,34.400001525878906
1748811986.785148,92,25.200000762939453
1748811991.4890792,93,15.600000381469727
1748811996.3938928,94,20.799999237060547
1748812000.760767,95,26.5
1748812005.299106,96,53.053001403808594
1748812009.7138119,97,67.15799713134766
1748812014.5513797,98,49.20500183105469
1748812019.0509787,99,71.7040023803711
1748812023.5703757,100,77.20899963378906
1748812028.2494905,101,55.19499969482422
1748812032.488238,102,63.82899856567383
1748812037.3311715,103,60.689998626708984
1748812041.6407056,104,34.45100021362305
1748812046.5729363,105,40.231998443603516
1748812050.920451,106,58.154998779296875
1748812055.4589474,107,92.1969985961914
1748812059.9238095,108,136.10299682617188
1748812064.7942533,109,88.25299835205078
1748812069.5088992,110,43.03200149536133
1748812074.1973548,111,53.79199981689453
1748812078.779533,112,61.67399978637695
1748812083.767377,113,46.68000030517578
1748812088.3974693,114,24.09000015258789
1748812092.7109327,115,54.51100158691406
1748812097.5494423,116,60.10200119018555
1748812101.7934265,117,58.35200119018555
1748812106.6650686,118,66.99700164794922
1748812110.9236183,119,86.40299987792969
1748812115.9087117,120,109.13099670410156
1748812120.4747374,121,82.62899780273438
1748812124.9357417,122,69.65899658203125
1748812129.4035451,123,60.233001708984375
1748812134.2444952,124,50.91999816894531
1748812139.2864785,125,94.23200225830078
1748812144.4144287,126,100.41899871826172
1748812148.8901525,127,104.88300323486328
1748812153.2355556,128,95.18000030517578
1748812158.014609,129,86.302001953125
1748812162.3163302,130,109.27899932861328
1748812167.0872593,131,107.21399688720703
1748812171.222047,132,90.9800033569336
1748812175.8136754,133,93.87799835205078
1748812180.5263388,134,88.41300201416016
1748812185.242059,135,107.1520004272461
1748812190.3174822,136,112.41000366210938
1748812195.0804195,137,82.36399841308594
1748812199.7201846,138,122.85299682617188
1748812204.1096344,139,114.69300079345703
1748812208.6146617,140,135.2729949951172
