Wall time,Step,Value
1748816718.5479028,184,41.35200119018555
1748816723.4269543,185,32.15599822998047
1748816728.094183,186,25.886999130249023
1748816732.7508738,187,23.256999969482422
1748816737.419308,188,28.65999984741211
1748816742.021262,189,27.16200065612793
1748816747.1164885,190,51.529998779296875
1748816751.6309404,191,38.358001708984375
1748816756.435434,192,7.068999767303467
1748816761.418478,193,45.60200119018555
1748816766.237115,194,33.6609992980957
1748816770.7550187,195,-2.5199999809265137
1748816775.5108404,196,4.238999843597412
1748816779.8864353,197,8.626999855041504
1748816784.5925508,198,7.4120001792907715
1748816789.2263615,199,27.1299991607666
1748816793.7550774,200,52.69300079345703
