num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0
1,0,False,1,a0090_00000,2025-06-01_20-56-50,1748800610,61.7239351272583,61.7239351272583,62680,Cerebro,127.0.0.1,61.7239351272583,1,60.04444169998169,1.6700010746717453e-05,60.04432469996391,60.044310400029644,0,0,0,13.87142857142857,71.77662337662339,0.0,0.0
1,0,False,2,a0090_00000,2025-06-01_20-56-52,1748800612,1.9910311698913574,63.71496629714966,62680,Cerebro,127.0.0.1,63.71496629714966,2,59.46391078098153,0.01992723801115062,59.44388327996421,59.44386898102937,0,0,0,41.233333333333334,69.66666666666667,0.0,0.0
1,0,False,3,a0090_00000,2025-06-01_20-56-54,1748800614,1.9566144943237305,65.67158079147339,62680,Cerebro,127.0.0.1,65.67158079147339,3,58.88882904317211,0.03928329963107244,58.84944580216441,58.849431538218674,0,0,0,44.7,71.05,0.0,0.0
1,0,False,4,a0090_00000,2025-06-01_20-57-58,1748800678,64.02367949485779,129.69526028633118,62680,Cerebro,127.0.0.1,129.69526028633118,4,58.92033852174007,0.0589100806345187,58.86132872614263,58.86131443983684,0,1,0,16.922499999999996,71.50874999999999,0.0,0.0
1,0,False,5,a0090_00000,2025-06-01_20-59-02,1748800742,64.01896619796753,193.7142264842987,62680,Cerebro,127.0.0.1,193.7142264842987,5,58.95147840952299,0.07832573382828406,58.87305316588121,58.873038883438,0,4,0,11.99625,72.245,0.0,0.0
1,0,False,6,a0090_00000,2025-06-01_21-00-06,1748800806,63.906574964523315,257.620801448822,62680,Cerebro,127.0.0.1,257.620801448822,6,58.98105335642789,0.09637742448956801,58.88457668422262,58.884562423603505,0,5,0,13.21375,72.23000000000002,0.0,0.0
1,0,False,7,a0090_00000,2025-06-01_21-01-10,1748800870,64.03055667877197,321.651358127594,62680,Cerebro,127.0.0.1,321.651358127594,7,59.01172598686394,0.11545258424427594,58.89617448738075,58.896160250367494,0,8,0,12.740506329113924,72.08354430379748,0.0,0.0
1,0,False,8,a0090_00000,2025-06-01_21-02-14,1748800934,64.02796125411987,385.67931938171387,62680,Cerebro,127.0.0.1,385.67931938171387,8,59.04189234699541,0.13431243940190682,58.90748130050704,58.907467063864004,0,9,0,12.755,72.00625000000001,0.0,0.0
1,0,False,9,a0090_00000,2025-06-01_21-03-18,1748800998,64.02569603919983,449.7050154209137,62680,Cerebro,127.0.0.1,449.7050154209137,9,59.0719357705256,0.1530011720083188,58.918836268501515,58.91882205222573,0,12,0,11.83125,70.81499999999998,0.0,0.0
1,0,False,10,a0090_00000,2025-06-01_21-04-22,1748801062,64.02554988861084,513.7305653095245,62680,Cerebro,127.0.0.1,513.7305653095245,10,59.10177136682074,0.17150067128826538,58.93017265481682,58.930158437703284,0,13,0,14.679999999999998,70.88,0.0,0.0
