num_training_step_calls_per_iteration,num_env_steps_sampled_lifetime,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,timers/training_iteration,timers/restore_workers,timers/training_step,timers/env_runner_sampling_timer,timers/learner_update_timer,timers/synch_weights,env_runners/episode_duration_sec_mean,env_runners/episode_return_max,env_runners/num_env_steps_sampled,env_runners/num_env_steps_sampled_lifetime,env_runners/episode_len_mean,env_runners/episode_return_mean,env_runners/num_episodes_lifetime,env_runners/episode_len_min,env_runners/episode_return_min,env_runners/episode_len_max,env_runners/num_episodes,fault_tolerance/num_healthy_workers,fault_tolerance/num_remote_worker_restarts,env_runner_group/actor_manager_num_outstanding_async_reqs,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/num_module_steps_sampled_lifetime/human,env_runners/num_module_steps_sampled_lifetime/ai,env_runners/num_agent_steps_sampled/human,env_runners/num_agent_steps_sampled/ai,env_runners/num_module_steps_sampled/human,env_runners/num_module_steps_sampled/ai,env_runners/agent_episode_returns_mean/human,env_runners/agent_episode_returns_mean/ai,env_runners/module_episode_returns_mean/human,env_runners/module_episode_returns_mean/ai,env_runners/num_agent_steps_sampled_lifetime/human,env_runners/num_agent_steps_sampled_lifetime/ai,env_runners/agent_steps/human,env_runners/agent_steps/ai,learners/ai/num_trainable_parameters,learners/ai/curr_kl_coeff,learners/ai/vf_explained_var,learners/ai/weights_seq_no,learners/ai/mean_kl_loss,learners/ai/default_optimizer_learning_rate,learners/ai/num_non_trainable_parameters,learners/ai/entropy,learners/ai/num_module_steps_trained_lifetime,learners/ai/vf_loss_unclipped,learners/ai/gradients_default_optimizer_global_norm,learners/ai/policy_loss,learners/ai/vf_loss,learners/ai/curr_entropy_coeff,learners/ai/total_loss,learners/ai/num_module_steps_trained,learners/ai/module_train_batch_size_mean,learners/ai/diff_num_grad_updates_vs_sampler_policy,learners/__all_modules__/num_env_steps_trained,learners/__all_modules__/num_env_steps_trained_lifetime,learners/__all_modules__/learner_connector_timer,learners/__all_modules__/num_module_steps_trained,learners/__all_modules__/num_trainable_parameters,learners/__all_modules__/num_non_trainable_parameters,learners/__all_modules__/num_module_steps_trained_lifetime,learners/human/num_trainable_parameters,learners/human/vf_explained_var,learners/human/curr_kl_coeff,learners/human/weights_seq_no,learners/human/mean_kl_loss,learners/human/default_optimizer_learning_rate,learners/human/num_non_trainable_parameters,learners/human/entropy,learners/human/vf_loss_unclipped,learners/human/num_module_steps_trained_lifetime,learners/human/gradients_default_optimizer_global_norm,learners/human/policy_loss,learners/human/vf_loss,learners/human/curr_entropy_coeff,learners/human/total_loss,learners/human/num_module_steps_trained,learners/human/module_train_batch_size_mean,learners/human/diff_num_grad_updates_vs_sampler_policy
1,44000,False,11,cf532_00000,2025-06-01_22-53-12,1748807592,8.014892339706421,91.24676775932312,57788,Cerebro,127.0.0.1,91.24676775932312,11,8.480007897908589,1.8088963259043913e-05,8.479807222683826,1.4584295743348243,7.012303572642476,0.007150245731249975,0.09907774399966002,331.9999999999993,4000,44000,80.0,-120.40000000000005,548,80,-728.0000000000008,80,48,4,0,0,24.04,70.87,0.0,0.0,44000,44000,4000,4000,4000,4000,-60.200000000000024,-60.200000000000024,-60.200000000000024,-60.200000000000024,44000,44000,80.0,80.0,145926.0,9.765625145519152e-05,-0.015535473823547363,11.0,0.0005065093864686787,0.0005,0.0,1.601440668106079,44572,1591.255859375,0.9764311909675598,-0.1388060599565506,8.033927917480469,0.2,0.34429872035980225,4052,4052.0,0.0,4000,44000,0.4085716354340841,8104,291852.0,0.0,89144,145926.0,0.05948072671890259,9.765625145519152e-05,11.0,0.0004927218542434275,0.0005,0.0,1.597326397895813,897.0392456054688,44572,0.42155879735946655,-0.020598100498318672,8.246432304382324,0.2,0.484579861164093,4052,4052.0,0.0
1,48000,False,12,cf532_00000,2025-06-01_22-53-20,1748807600,8.479159593582153,99.72592735290527,57788,Cerebro,127.0.0.1,99.72592735290527,12,8.47990235392952,1.8053073566401795e-05,8.47970060745685,1.459504860591702,7.011115390916159,0.007148650274225843,0.10809450400120113,431.9999999999993,4000,48000,80.0,-107.00000000000009,600,80,-528.0000000000015,80,52,4,0,0,29.272727272727273,71.13636363636363,0.0,0.0,48000,48000,4000,4000,4000,4000,-53.50000000000004,-53.50000000000004,-53.50000000000004,-53.50000000000004,48000,48000,80.0,80.0,145926.0,4.882812572759576e-05,0.08733940124511719,12.0,0.0006982468185015023,0.0005,0.0,1.6003193855285645,48624,1064.744873046875,0.4492323100566864,0.254876971244812,8.632986068725586,0.2,0.798111617565155,4052,4052.0,0.0,4000,48000,0.40846004565381855,8104,291852.0,0.0,97248,145926.0,0.0203893780708313,4.882812572759576e-05,12.0,0.0007897253381088376,0.0005,0.0,1.5956578254699707,2176.3759765625,48624,0.24360939860343933,0.0913657695055008,7.9973063468933105,0.2,0.5719648003578186,4052,4052.0,0.0
1,52000,False,13,cf532_00000,2025-06-01_22-53-28,1748807608,8.200103521347046,107.92603087425232,57788,Cerebro,127.0.0.1,107.92603087425232,13,8.476976821390375,1.800854270215566e-05,8.476774166382272,1.460406224985713,7.007269440006928,0.007157649771417029,0.11765672999608796,431.9999999999993,4000,52000,80.0,-90.4000000000001,648,80,-528.0000000000015,80,48,4,0,0,24.85,70.97,0.0,0.0,52000,52000,4000,4000,4000,4000,-45.20000000000005,-45.20000000000005,-45.20000000000005,-45.20000000000005,52000,52000,80.0,80.0,145926.0,2.441406286379788e-05,0.0791977047920227,13.0,0.0009856363758444786,0.0005,0.0,1.5934616327285767,52676,1654.030029296875,0.4868697226047516,-0.07496143877506256,9.23529052734375,0.2,0.5298753380775452,4052,4052.0,0.0,4000,52000,0.4083338042656179,8104,291852.0,0.0,105352,145926.0,0.003438711166381836,2.441406286379788e-05,13.0,0.0006957660079933703,0.0005,0.0,1.598244309425354,1341.0413818359375,52676,0.39729437232017517,0.02349826693534851,7.054587364196777,0.2,0.40930816531181335,4052,4052.0,0.0
1,56000,False,14,cf532_00000,2025-06-01_22-53-37,1748807617,8.528227090835571,116.45425796508789,57788,Cerebro,127.0.0.1,116.45425796508789,14,8.47739271417632,1.797545781238802e-05,8.477189008718153,1.4587134277358584,7.009364834606901,0.007160213273627086,0.10657002399442718,351.99999999999966,4000,56000,80.0,-61.80000000000005,700,80,-468.000000000001,80,52,4,0,0,28.909999999999997,70.96000000000001,0.0,0.0,56000,56000,4000,4000,4000,4000,-30.900000000000023,-30.900000000000023,-30.900000000000023,-30.900000000000023,56000,56000,80.0,80.0,145926.0,1.220703143189894e-05,0.04474532604217529,14.0,0.0008141419966705143,0.0005,0.0,1.5938317775726318,56728,2384.51318359375,0.6343261003494263,0.2563997209072113,8.012149810791016,0.2,0.7388483285903931,4052,4052.0,0.0,4000,56000,0.408210515730616,8104,291852.0,0.0,113456,145926.0,-0.0042912960052490234,1.220703143189894e-05,14.0,0.0003980453475378454,0.0005,0.0,1.5984927415847778,2279.816162109375,56728,0.301912397146225,0.09095405787229538,8.840544700622559,0.2,0.6553100943565369,4052,4052.0,0.0
1,60000,False,15,cf532_00000,2025-06-01_22-53-45,1748807625,8.26157546043396,124.71583342552185,57788,Cerebro,127.0.0.1,124.71583342552185,15,8.475143620034473,1.793570313613999e-05,8.474938914630464,1.4571768174583453,7.00865204726064,0.007151417140659712,0.09755444299429655,351.99999999999955,4000,60000,80.0,-84.00000000000009,748,80,-848.000000000001,80,48,4,0,0,27.859999999999996,71.29999999999998,0.0,0.0,60000,60000,4000,4000,4000,4000,-42.00000000000004,-42.00000000000004,-42.00000000000004,-42.00000000000004,60000,60000,80.0,80.0,145926.0,6.10351571594947e-06,0.18898719549179077,15.0,0.0004927779664285481,0.0005,0.0,1.5998187065124512,60780,968.2872314453125,0.3641851842403412,0.04241005703806877,8.680292129516602,0.2,0.5904756188392639,4052,4052.0,0.0,4000,60000,0.40807322104588584,8104,291852.0,0.0,121560,145926.0,-0.081390380859375,6.10351571594947e-06,15.0,0.0004913184093311429,0.0005,0.0,1.5984718799591064,1528.542724609375,60780,0.5733006000518799,0.06104142591357231,8.402438163757324,0.2,0.5815908908843994,4052,4052.0,0.0
1,64000,False,16,cf532_00000,2025-06-01_22-53-53,1748807633,7.960998058319092,132.67683148384094,57788,Cerebro,127.0.0.1,132.67683148384094,16,8.469868898834475,1.788034588482255e-05,8.469663021484442,1.4559428062838795,7.004578345788205,0.007169138969456643,0.09383642799686641,351.9999999999998,4000,64000,80.0,-96.2000000000001,800,80,-848.000000000001,80,52,4,0,0,21.190909090909088,71.04545454545453,0.0,0.0,64000,64000,4000,4000,4000,4000,-48.10000000000005,-48.10000000000005,-48.10000000000005,-48.10000000000005,64000,64000,80.0,80.0,145926.0,3.051757857974735e-06,-0.025569558143615723,16.0,0.0006977257435210049,0.0005,0.0,1.5939066410064697,64832,3487.676025390625,0.25839945673942566,0.0600888654589653,7.697837829589844,0.2,0.5110913515090942,4052,4052.0,0.0,4000,64000,0.4079209062632813,8104,291852.0,0.0,129664,145926.0,-0.01925063133239746,3.051757857974735e-06,16.0,0.0009652609587647021,0.0005,0.0,1.5962750911712646,1873.2332763671875,64832,0.3243921101093292,0.10120047628879547,8.548209190368652,0.2,0.6367663145065308,4052,4052.0,0.0
1,68000,False,17,cf532_00000,2025-06-01_22-54-01,1748807641,8.049350261688232,140.72618174552917,57788,Cerebro,127.0.0.1,140.72618174552917,17,8.465528093845952,1.7859542464911057e-05,8.465321406269693,1.454541445221372,7.001615534330093,0.0071833965799660586,0.09358957199961879,351.9999999999998,4000,68000,80.0,-62.2000000000001,848,80,-708.0000000000007,80,48,4,0,0,22.550000000000004,70.70000000000002,0.0,0.0,68000,68000,4000,4000,4000,4000,-31.10000000000005,-31.10000000000005,-31.10000000000005,-31.10000000000005,68000,68000,80.0,80.0,145926.0,1.5258789289873675e-06,0.1177971363067627,17.0,0.0006229495047591627,0.0005,0.0,1.5955079793930054,68884,1870.7794189453125,0.4020519256591797,0.1108611598610878,8.256184577941895,0.2,0.6173781156539917,4052,4052.0,0.0,4000,68000,0.40775692258422247,8104,291852.0,0.0,137768,145926.0,0.05331623554229736,1.5258789289873675e-06,17.0,0.0006118880701251328,0.0005,0.0,1.5969825983047485,1629.6402587890625,68884,0.24480219185352325,0.0470019094645977,7.968897819519043,0.2,0.5244950652122498,4052,4052.0,0.0
1,72000,False,18,cf532_00000,2025-06-01_22-54-09,1748807649,8.169562578201294,148.89574432373047,57788,Cerebro,127.0.0.1,148.89574432373047,18,8.462448911908014,1.7803947394768022e-05,8.462241470206992,1.454893656769615,6.998172928987113,0.007181484613986906,0.1007185180002125,351.9999999999998,4000,72000,80.0,-33.80000000000009,900,80,-468.00000000000057,80,52,4,0,0,24.35,70.69000000000001,0.0,0.0,72000,72000,4000,4000,4000,4000,-16.900000000000045,-16.900000000000045,-16.900000000000045,-16.900000000000045,72000,72000,80.0,80.0,145926.0,7.629394644936838e-07,0.08061873912811279,18.0,0.0005203615291975439,0.0005,0.0,1.5953620672225952,72936,1516.0689697265625,0.3923383057117462,0.06593523174524307,8.48816967010498,0.2,0.5956798791885376,4052,4052.0,0.0,4000,72000,0.40759426143812033,8104,291852.0,0.0,145872,145926.0,0.05668085813522339,7.629394644936838e-07,18.0,0.0005534284864552319,0.0005,0.0,1.5945125818252563,1549.5462646484375,72936,0.44765976071357727,0.28860795497894287,8.500080108642578,0.2,0.8197134137153625,4052,4052.0,0.0
1,76000,False,19,cf532_00000,2025-06-01_22-54-17,1748807657,7.824259996414185,156.72000432014465,57788,Cerebro,127.0.0.1,156.72000432014465,19,8.455962921788693,1.775890776939474e-05,8.455754784505128,1.453681994201851,6.992895705696931,0.007176622767761102,0.10048607399861793,431.9999999999991,4000,76000,80.0,-14.400000000000126,948,80,-548.0000000000007,80,48,4,0,0,23.4,70.70000000000002,0.0,0.0,76000,76000,4000,4000,4000,4000,-7.200000000000063,-7.200000000000063,-7.200000000000063,-7.200000000000063,76000,76000,80.0,80.0,145926.0,3.814697322468419e-07,0.07829904556274414,19.0,0.0005088701727800071,0.0005,0.0,1.5935653448104858,76988,2833.19775390625,0.22054216265678406,0.013995669782161713,8.10824203491211,0.2,0.5061068534851074,4052,4052.0,0.0,4000,76000,0.40741732790268664,8104,291852.0,0.0,153976,145926.0,0.12049239873886108,3.814697322468419e-07,19.0,0.0006539353053085506,0.0005,0.0,1.59101402759552,1432.1304931640625,76988,0.23447127640247345,0.030261311680078506,8.319588661193848,0.2,0.5440173745155334,4052,4052.0,0.0
1,80000,False,20,cf532_00000,2025-06-01_22-54-26,1748807666,8.507079601287842,165.2270839214325,57788,Cerebro,127.0.0.1,165.2270839214325,20,8.456335351570935,1.7739318730637526e-05,8.456125762660081,1.4516355712600522,6.995282573639784,0.007192038540362917,0.09500688799947966,431.9999999999991,4000,80000,80.0,-40.20000000000013,1000,80,-548.0000000000007,80,52,4,0,0,25.41818181818182,70.74545454545454,0.0,0.0,80000,80000,4000,4000,4000,4000,-20.100000000000065,-20.100000000000065,-20.100000000000065,-20.100000000000065,80000,80000,80.0,80.0,145926.0,1.9073486612342094e-07,0.04706311225891113,20.0,0.0007513271411880851,0.0005,0.0,1.5910261869430542,81040,1770.218505859375,0.40598300099372864,0.02118517830967903,8.195795059204102,0.2,0.522559404373169,4052,4052.0,0.0,4000,80000,0.4072453779318178,8104,291852.0,0.0,162080,145926.0,-0.15710878372192383,1.9073486612342094e-07,20.0,0.000605157925747335,0.0005,0.0,1.5894566774368286,1578.7303466796875,81040,0.480896919965744,0.29533156752586365,8.366358757019043,0.2,0.8140760660171509,4052,4052.0,0.0
